market,timeframe,strategy_family,window,session,market_regime,news_event_regime,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_holding_minutes
XAUUSD,4H,COMPRESSION_BREAKOUT,wf_3,LONDON,LOW_VOLATILITY,UNAVAILABLE,7,-0.004330726466001,0.2857142857142857,0.5780220797176712,0.0081763797819253,-0.3086350501693739,-1.017532718070767,-0.3086350501693739,960.0
XAUUSD,4H,COMPRESSION_BREAKOUT,wf_3,LONDON,TRENDING,UNAVAILABLE,1,-0.0020331447809266,0.0,0.0,0.0020331447809266,-1.0165723904632975,-1.0165723904632975,-1.0165723904632975,480.0
XAUUSD,4H,COMPRESSION_BREAKOUT,wf_3,NEW_YORK,LOW_VOLATILITY,UNAVAILABLE,1,-0.0020353197466351,0.0,0.0,0.0020353197466351,-1.0176598733176103,-1.0176598733176103,-1.0176598733176103,5040.0
XAUUSD,4H,COMPRESSION_BREAKOUT,wf_3,NEW_YORK,RANGING,UNAVAILABLE,1,-0.0020294924871855,0.0,0.0,0.0020294924871855,-1.0147462435927717,-1.0147462435927717,-1.0147462435927717,240.0
XAUUSD,4H,COMPRESSION_BREAKOUT,wf_3,OVERLAP,HIGH_VOLATILITY,UNAVAILABLE,2,-0.0040806881560943,0.0,0.0,0.0040806881560943,-1.0212149003396649,-1.0212149003396649,-1.0212149003396649,0.0
XAUUSD,4H,COMPRESSION_BREAKOUT,wf_3,OVERLAP,LOW_VOLATILITY,UNAVAILABLE,18,-0.0024132896153747,0.3888888888888889,0.8849695131430629,0.0103156270083479,-0.0658059617227709,-1.01770402560249,-0.0658059617227709,2240.0
XAUUSD,4H,COMPRESSION_BREAKOUT,wf_3,OVERLAP,RANGING,UNAVAILABLE,7,-0.0056183338555401,0.2857142857142857,0.4504702840483915,0.0085636783687614,-0.4012837021638167,-1.018445952684651,-0.4012837021638167,2022.857142857143
XAUUSD,4H,COMPRESSION_BREAKOUT,wf_3,OVERLAP,TRENDING,UNAVAILABLE,7,0.0007203788946876,0.4285714285714285,1.091138881181333,0.006090310613704,0.0529653449110799,-1.0164968560062742,0.0529653449110799,1097.142857142857
XAUUSD,4H,SUPPORT_RESISTANCE,oos,ASIAN,HIGH_VOLATILITY,UNAVAILABLE,2,-0.0040277627184057,0.0,0.0,0.0040277627184057,-1.0079566549133858,-1.0079566549133858,-1.0079566549133858,3360.0
XAUUSD,4H,SUPPORT_RESISTANCE,oos,ASIAN,LOW_VOLATILITY,UNAVAILABLE,3,-0.0010766610194528,0.3333333333333333,0.7357883393213934,0.0020320152185506,-0.1781207984237172,-1.0064708608220303,-0.1781207984237172,480.0
XAUUSD,4H,SUPPORT_RESISTANCE,oos,ASIAN,TRENDING,UNAVAILABLE,1,-0.0020226651485522,0.0,0.0,0.0020226651485522,-1.0113325742761012,-1.0113325742761012,-1.0113325742761012,5520.0
XAUUSD,4H,SUPPORT_RESISTANCE,oos,LONDON,TRENDING,UNAVAILABLE,1,-0.0020174899009903,0.0,0.0,0.0020174899009903,-1.0087449504951762,-1.0087449504951762,-1.0087449504951762,240.0
XAUUSD,4H,SUPPORT_RESISTANCE,oos,NEW_YORK,HIGH_VOLATILITY,UNAVAILABLE,1,0.0029865673089901,1.0,inf,0.0,1.4932836544951251,1.4932836544951251,1.4932836544951251,1200.0
XAUUSD,4H,SUPPORT_RESISTANCE,oos,NEW_YORK,LOW_VOLATILITY,UNAVAILABLE,1,0.0029706458440375,1.0,inf,0.0,1.485322922018789,1.485322922018789,1.485322922018789,720.0
XAUUSD,4H,SUPPORT_RESISTANCE,oos,OVERLAP,HIGH_VOLATILITY,UNAVAILABLE,1,-0.0020225510321647,0.0,0.0,0.0020225510321647,-1.011275516082398,-1.011275516082398,-1.011275516082398,3600.0
