strategy_family,variant,window,pair,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_holding_minutes
MEAN_REVERSION,BOLLINGER_TO_MEAN,oos,AUDUSD,116,-0.04808876078813684,0.35344827586206895,0.7336606519875307,0.06875240590850207,-0.21037331591221894,-1.167679830487141,-0.21037331591221894,32.543103448275865
MEAN_REVERSION,BOLLINGER_TO_MEAN,oos,EURUSD,54,-0.03973973197577052,0.2777777777777778,0.5724544768737645,0.041754563057573815,-0.3734217028420686,-1.1641347735880183,-0.3734217028420686,33.51851851851852
MEAN_REVERSION,BOLLINGER_TO_MEAN,oos,GBPUSD,58,-0.028721310516594434,0.3275862068965517,0.6835048078004327,0.031145170495504814,-0.2493206526227293,-1.1253513248816214,-0.2493206526227293,85.6896551724138
MEAN_REVERSION,BOLLINGER_TO_MEAN,oos,USDJPY,90,-0.019887031622231044,0.32222222222222224,0.854499731958834,0.026442544127895998,-0.10940451023668928,-1.0878180731871132,-0.10940451023668928,35.94444444444444
MEAN_REVERSION,BOLLINGER_TO_MEAN,wf_1,AUDUSD,112,-0.03285810076696993,0.35714285714285715,0.8104148378064971,0.06121131887585074,-0.14702277014578471,-1.1241403480808663,-0.14702277014578471,67.36607142857143
MEAN_REVERSION,BOLLINGER_TO_MEAN,wf_1,EURUSD,58,0.02059303163271875,0.4827586206896552,1.296433041635652,0.013160945159645073,0.17782134191423593,-1.0688433787860403,0.17782134191423593,111.46551724137932
MEAN_REVERSION,BOLLINGER_TO_MEAN,wf_1,GBPUSD,57,-0.03045228942815592,0.2982456140350877,0.6574343148555123,0.03232931239482349,-0.2693391030084236,-1.1036228201589044,-0.2693391030084236,99.03508771929825
MEAN_REVERSION,BOLLINGER_TO_MEAN,wf_1,USDJPY,50,-0.03437083460832713,0.28,0.5651136944250886,0.0468049949626635,-0.34805838362822217,-1.09696911113492,-0.34805838362822217,30.3
MEAN_REVERSION,BOLLINGER_TO_MEAN,wf_2,AUDUSD,86,-0.05840454910435433,0.27906976744186046,0.5842862595592643,0.06302857642786053,-0.3479569340017548,-1.1452271523898294,-0.3479569340017548,41.395348837209305
MEAN_REVERSION,BOLLINGER_TO_MEAN,wf_2,EURUSD,52,-0.030592792657250123,0.3269230769230769,0.6188187640277711,0.04278638828765823,-0.29702011807175394,-1.139846066852424,-0.29702011807175394,50.57692307692308
MEAN_REVERSION,BOLLINGER_TO_MEAN,wf_2,GBPUSD,43,0.022708152866386833,0.46511627906976744,1.4326599050131057,0.011488005387640925,0.26354134043165217,-1.085145130249823,0.26354134043165217,45.46511627906977
MEAN_REVERSION,BOLLINGER_TO_MEAN,wf_2,USDJPY,41,-0.01282709410065308,0.2926829268292683,0.7992833496934112,0.0355053648842125,-0.15517835798012128,-1.0724460774078608,-0.15517835798012128,46.09756097560975
MEAN_REVERSION,BOLLINGER_TO_MEAN,wf_3,AUDUSD,77,-0.06862342724203696,0.2727272727272727,0.49586481765079016,0.07015200857968085,-0.45961227430678253,-1.2246273548823514,-0.45961227430678253,30.77922077922078
MEAN_REVERSION,BOLLINGER_TO_MEAN,wf_3,EURUSD,53,-0.014432950587931037,0.4339622641509434,0.8070375113597704,0.02797804262319359,-0.13532711284190074,-1.1722476654682172,-0.13532711284190074,39.81132075471698
