category,experiment,single_variable_changed,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_winner,average_loser,largest_winner,largest_loser,max_consecutive_losses,status,reason
C_PAIR,EURUSD only,pair,41,-1.1769627885405143e-05,0.5609756097560976,1.0006057267791446,0.0026082599577981567,0.00028103007163717236,0.2281368393369545,0.00028103007163717236,0.8275514895723938,-1.0567867792904408,1.4426120279509422,-1.1438496230690087,2,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; walk-forward windows unstable
C_PAIR,GBPUSD only,pair,62,5.853589551962912e-06,0.5806451612903226,1.0016468381287922,0.00385126261438385,0.0007224057504094652,0.343985651858541,0.0007224057504094652,0.7567180511239536,-1.0460407955360365,1.3766431312277372,-1.1160395084007804,4,FAIL,fewer than 200 trades; profit factor below 1.25
C_PAIR,AUDUSD only,pair,28,7.440169393246876e-05,0.5357142857142857,1.0121756116314151,0.0024971270118650957,0.005958315358958244,0.31899251987090793,0.005958315358958244,0.924603088582986,-1.0540164229764584,1.465286161710275,-1.1540563219940965,3,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
C_PAIR,USDJPY only,pair,81,-0.004106337109955782,0.5308641975308642,0.7930600960818907,0.0060372738597649,-0.10185976870086105,0.1151905180429544,-0.10185976870086105,0.7353280011731061,-1.0492038240845603,1.465011453561354,-1.1238635074556484,4,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
C_PAIR,Major pairs combined,pair basket,212,-0.0010094628635891612,0.5518867924528302,0.9195570498056533,0.002200754525616525,-0.037865552100266035,0.21571422999347595,-0.037865552100266035,0.7843049955539808,-1.0504334897376013,1.465286161710275,-1.1540563219940965,5,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
D_STRUCTURE,Require BOS only,structure confirmation,143,0.00021967841317360737,0.5664335664335665,1.0282616472150579,0.0012399023758019614,0.012828845789597003,0.2071103147030572,0.012828845789597003,0.8240333143870094,-1.0469705406037964,1.465286161710275,-1.1540563219940965,5,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
D_STRUCTURE,Require CHoCH only,structure confirmation,69,-0.001402894426292045,0.5217391304347826,0.7172505023362623,0.0018602753109275556,-0.14292785497346047,0.2243181452838947,-0.14292785497346047,0.6949162781796661,-1.0569396365950532,1.465011453561354,-1.1438496230690087,6,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
D_STRUCTURE,Allow either BOS or CHoCH,structure confirmation,212,-0.0010094628635891612,0.5518867924528302,0.9195570498056533,0.002200754525616525,-0.037865552100266035,0.21571422999347595,-0.037865552100266035,0.7843049955539808,-1.0504334897376013,1.465286161710275,-1.1540563219940965,5,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
D_STRUCTURE,Require liquidity sweep plus BOS,structure confirmation,143,0.00021967841317360737,0.5664335664335665,1.0282616472150579,0.0012399023758019614,0.012828845789597003,0.2071103147030572,0.012828845789597003,0.8240333143870094,-1.0469705406037964,1.465286161710275,-1.1540563219940965,5,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
D_STRUCTURE,Require liquidity sweep plus CHoCH,structure confirmation,69,-0.001402894426292045,0.5217391304347826,0.7172505023362623,0.0018602753109275556,-0.14292785497346047,0.2243181452838947,-0.14292785497346047,0.6949162781796661,-1.0569396365950532,1.465011453561354,-1.1438496230690087,6,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
E_ENTRY_ZONE,FVG only,entry zone,80,-0.0006216680961108612,0.5625,0.8747691545323677,0.0021479392462336873,-0.05788168002604256,0.2507824190963923,-0.05788168002604256,0.7187878866278692,-1.0564568371525,1.4447553774756994,-1.1540563219940965,9,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
E_ENTRY_ZONE,Order block only,entry zone,82,0.000258702005259126,0.5609756097560976,1.052854141892493,0.0008346573788564032,0.024146146104696092,0.3358177243175704,0.024146146104696092,0.8574188529271121,-1.0405912015017247,1.465286161710275,-1.0931567737760757,3,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
E_ENTRY_ZONE,FVG + order block confluence,entry zone,50,-0.0008240249621750406,0.52,0.7879243539929989,0.001869758085516211,-0.10753893247516158,0.0800396817399241,-0.10753893247516158,0.7683447056505563,-1.0564128737780227,1.465011453561354,-1.1438496230690087,7,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
E_ENTRY_ZONE,Premium/discount zone only,location filter,12,-0.0008381070822779391,0.4166666666666667,0.5436454520909644,0.0016074273445249013,-0.27980000194835936,-1.0366233940485077,-0.27980000194835936,0.7999674774864148,-1.0510624872589125,1.3841231370477758,-1.0764915940262283,5,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; profit concentrated in one pair; walk-forward windows unstable
E_ENTRY_ZONE,Near higher-timeframe support/resistance,location filter,13,0.0006490995871344385,0.7692307692307693,1.9391431426626617,0.00046127939979653327,0.22442843497001708,0.415231489137644,0.22442843497001708,0.6024199008617235,-1.035543118002338,1.1558527308805389,-1.045511393890986,2,FAIL,fewer than 200 trades; walk-forward windows unstable
F_TREND_FILTER,4H trend only,trend filter,212,-0.0010094628635891612,0.5518867924528302,0.9195570498056533,0.002200754525616525,-0.037865552100266035,0.21571422999347595,-0.037865552100266035,0.7843049955539808,-1.0504334897376013,1.465286161710275,-1.1540563219940965,5,FAIL,non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
F_TREND_FILTER,1H trend only,trend filter,131,0.000567016029381584,0.5877862595419847,1.0756051950364187,0.0010469482773871098,0.03281899452103454,0.3422579446528372,0.03281899452103454,0.7943412115587823,-1.05305527792168,1.4556091126676776,-1.1540563219940965,4,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
F_TREND_FILTER,Both 4H and 1H aligned,trend filter,131,0.000567016029381584,0.5877862595419847,1.0756051950364187,0.0010469482773871098,0.03281899452103454,0.3422579446528372,0.03281899452103454,0.7943412115587823,-1.05305527792168,1.4556091126676776,-1.1540563219940965,4,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
F_TREND_FILTER,EMA 50/200 trend,trend filter,146,-0.0016010501721845927,0.5273972602739726,0.8233413607225187,0.0024616707917637978,-0.08761478404737495,0.12777118593050873,-0.08761478404737495,0.7742559960832543,-1.0494126111496713,1.465286161710275,-1.1438496230690087,5,FAIL,fewer than 200 trades; non-positive return; profit factor below 1.25; non-positive expectancy; walk-forward windows unstable
F_TREND_FILTER,Market-structure trend,trend filter,137,3.5338798799466886e-05,0.5766423357664233,1.0044403271641043,0.0014648157808982742,0.0019728384429906717,0.2930989668795162,0.0019728384429906717,0.7739166115357992,-1.049467818011007,1.465286161710275,-1.1540563219940965,5,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward windows unstable
