market,timeframe,strategy_family,variant,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_holding_minutes,zero_cost_profit_factor,zero_cost_expectancy,oos_return,oos_profit_factor,oos_expectancy,status,reason
AUDUSD,15M,COMPRESSION_BREAKOUT,ATR_COMPRESSION_CLOSE,612,-0.2868118070103574,0.3382352941176471,0.6255736579190043,0.2959253575478291,-0.2747035680407295,-1.106588154569525,-0.2747035680407295,53.40686274509804,0.9103360152738073,-0.0551091853317755,-0.0217331412343763,0.7917581350065828,-0.1376183578650334,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
AUDUSD,15M,SUPPORT_RESISTANCE,HTF_REJECTION,476,-0.0962399563919358,0.4117647058823529,0.818960555820124,0.1288053011867726,-0.1050491262093178,-1.0437958199879571,-0.1050491262093178,238.04621848739492,1.03710781322429,0.0197557913230373,0.0110235180385367,1.1514166046827352,0.0753695749791192,FAIL,profit factor below 1.25; non-positive expectancy after costs; walk-forward results unstable; zero-cost edge fails after costs
AUDUSD,15M,RANGE_MEAN_REVERSION,BB_RSI_RANGE,72,-0.0272152004286352,0.3055555555555556,0.7425227819470214,0.0327601269837636,-0.1897227724698922,-1.0818892225109702,-0.1897227724698922,87.5,0.923996158696407,-0.0495768291584632,-0.002543814277448,0.675317017841383,-0.2104496555247692,FAIL,fewer than 200 trades; profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable
AUDUSD,30M,TREND_CONTINUATION,EMA50_200_PULLBACK,1805,-0.5402328746476746,0.3551246537396121,0.6781723480430528,0.5599764713820532,-0.2139169527422486,-1.0575089592213365,-0.2139169527422486,325.06371191135736,0.8893567302018285,-0.0652880634210156,-0.1250232762434656,0.7434536975430114,-0.1627531414205762,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
AUDUSD,30M,EMA_VWAP_PULLBACK,EMA20_SESSION_MEAN,2893,-0.7375902751849058,0.3532665053577601,0.6612398081950241,0.7383094788289034,-0.2298763420491755,-1.067669975155007,-0.2298763420491755,239.24300034566195,0.8797586850980426,-0.0717299038158689,-0.2830648298928931,0.6407715078454506,-0.2455282068528586,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
AUDUSD,30M,COMPRESSION_BREAKOUT,ATR_COMPRESSION_CLOSE,1024,-0.392591537717763,0.349609375,0.6593446549414134,0.3931097689851907,-0.242004754303466,-1.0854068062676914,-0.242004754303466,130.810546875,0.9576943646442918,-0.0253351734416163,-0.1533327809400982,0.4892512655354996,-0.4025945881108149,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
AUDUSD,30M,SUPPORT_RESISTANCE,HTF_REJECTION,422,-0.0826037507305955,0.3957345971563981,0.8319574667737452,0.1300307911186527,-0.1008356100763689,-1.0469758864962562,-0.1008356100763689,450.0710900473933,1.1274703161214312,0.0664522482405789,-0.0147388333044151,0.8631875937597746,-0.0811658892175293,FAIL,profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable; zero-cost edge fails after costs
AUDUSD,30M,RANGE_MEAN_REVERSION,BB_RSI_RANGE,66,-0.0204785186341606,0.303030303030303,0.7681936494328996,0.0236922875248026,-0.1549034255113805,-1.056143902061197,-0.1549034255113805,292.72727272727275,1.056153956334572,0.0322517530556748,-0.0092316124294581,0.5562080328989437,-0.329623718725238,FAIL,fewer than 200 trades; profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable; zero-cost edge fails after costs
AUDUSD,1H,TREND_CONTINUATION,EMA50_200_PULLBACK,1074,-0.3434228187660388,0.3566108007448789,0.7070946894570093,0.3544798038116785,-0.1945049343115996,-1.0441837544402373,-0.1945049343115996,601.4525139664804,0.8815536885871417,-0.0709434340200067,-0.1762150818057146,0.5138898824450528,-0.3576697439333732,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
AUDUSD,1H,EMA_VWAP_PULLBACK,EMA20_SESSION_MEAN,2483,-0.6235647578153208,0.3548127265404752,0.7065140929501241,0.6262078795054933,-0.1953782488333653,-1.0481449574396082,-0.1953782488333653,510.6161900926299,0.8932702535806982,-0.0632473940082149,-0.2455329907713308,0.6678862828925091,-0.225134510085652,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
AUDUSD,1H,COMPRESSION_BREAKOUT,ATR_COMPRESSION_CLOSE,679,-0.2462839256130891,0.3519882179675994,0.6999055598082952,0.2591440932595621,-0.2067817101530096,-1.0618120254736092,-0.2067817101530096,306.09720176730485,0.987389410509074,-0.007406372251417,-0.1316141497550504,0.4464686601894165,-0.4342199315439601,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
AUDUSD,1H,SUPPORT_RESISTANCE,HTF_REJECTION,268,-0.0639846114603641,0.3917910447761194,0.8053920176625097,0.0652602058562356,-0.1220021436945346,-1.0392690447550017,-0.1220021436945346,708.1343283582089,0.9991932957609618,-0.0004590900621067,-0.0268368547913417,0.7260964781785086,-0.177628746218223,FAIL,profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable
AUDUSD,1H,RANGE_MEAN_REVERSION,BB_RSI_RANGE,38,0.0049746330597348,0.4473684210526316,1.1210754618106982,0.0156066012640354,0.0669052468619024,-0.7674830617669965,0.0669052468619024,1015.2631578947368,1.2691450555857655,0.137093868511271,0.0031937348022172,1.5007929161985036,0.2292603381778643,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward results unstable
AUDUSD,4H,TREND_CONTINUATION,EMA50_200_PULLBACK,274,-0.0439169991252323,0.3832116788321167,0.8652918447448279,0.0488007178937076,-0.0806075354776134,-1.0186481463085748,-0.0806075354776134,2567.299270072993,0.9368165710476396,-0.0363452286675318,-0.0283291386153101,0.6659596011612401,-0.223204252836896,FAIL,profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable
AUDUSD,4H,EMA_VWAP_PULLBACK,EMA20_SESSION_MEAN,743,-0.1771502029746382,0.3714670255720054,0.7949244646691342,0.1918067554140083,-0.1298402827588626,-1.0242266459463365,-0.1298402827588626,1859.2732166890985,0.8778200798579575,-0.0737076399875833,-0.1082701057153185,0.5606568028852941,-0.3101074559393901,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
AUDUSD,4H,COMPRESSION_BREAKOUT,ATR_COMPRESSION_CLOSE,190,-0.038384018748122,0.3736842105263158,0.838796478876405,0.0508179799918511,-0.1015915317588315,-1.0281321051163097,-0.1015915317588315,1525.8947368421052,0.9678676546048632,-0.0190233474190508,-0.0245606115438763,0.6550930209787135,-0.2377563621131353,FAIL,fewer than 200 trades; profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable
AUDUSD,4H,SUPPORT_RESISTANCE,HTF_REJECTION,64,-0.0070187669125002,0.40625,0.9114073204699692,0.0146523198777802,-0.0536191694781636,-1.0188796097765027,-0.0536191694781636,2557.5,1.0470476485574016,0.0263954062338741,-0.0072110261273122,0.7101797929124665,-0.1996031388919342,FAIL,fewer than 200 trades; profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable; zero-cost edge fails after costs
